RegistroDescricao,Reclamado,,,,,,,
Portabilidade realizada na linha incorreta,"Descrição do problema: Consumidor (a) informa que solicitou portabilidade da Tim para Claro, porém ao passar do prazo de portabilidade, verificou que seu número não foi portado, mas sim está com um número provisório. Já foi dado vários prazos para resolução porém nada foi resolvido._x000D_
O que o consumidor solicita como providências: Portabilidade com urgência._x000D_
Serviço Reclamado: pós-pago_x000D_
,"Diante de uma tentativa de fazer portabilidade do telefone fixo da Oi para a operadora Claro no dia 22/02/2021, esta nos negou o serviço, não dando nenhuma explicação do porquê não fomos atendidos.
No dia 01/03 entramos em contato novamente pedindo explicações sobre o ocorrido e a Claro informou que já havia um cadastro de 2018 ativo, que iria atualizar o cadastro e entrava em contato novamente para tentar nova portabilidade, o que não aconteceu.
No sábado estive em uma loja física da Claro, e disseram que não conseguiam resolver meu problema, tendo me encaminhado para o número 10699.
Hoje liguei nesse número, e não me atenderam novamente (protocolo 021210802182840), me encaminhando para o whatsapp, o que também não resolveu.
Gostaria, portanto, de formalizar a reclamação e solicitar que a portabilidade seja feita, pois se a operadora oferece o serviço, é um direito meu utilizar.
Gostaria ainda de informar que em 2018 tentei fazer portabilidade para a mesma operadora, comprei o aparelho e recebi o chip, mas esta nunca foi concluída.",,,,,,,
Demora na portabilidade,Estou solicitando a vários meses a portabilidade de dois números da minha empresa e não consegui ainda ,,,,,,,
,"O telefone 21 3079-9120, foi indevidamente desvinculado de meu domínio no endereço Rua Metalúrgico Jorge Alves da Silva nº 24 - Magalhães Bastos. Ao relatar o problema, foi solicitado 5 dias corridos para a resolução do problema. Porem minha solicitação não foi atendida.",,,,,,,
,"Descrição do problema: Reclama solicitou a portabilidade da claro para Tim e a operadora não esta liberando._x000D_
O que o consumidor solicita como providências: deseja a liberação._x000D_
Serviço Reclamado: pos pago_x000D_
Telefone associado ao problema(quando for linha telefônica):11 947714166_x000D_
",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que, a prestadora se recusa a concluir a portabilidade solicitado. _x000D_
O que o(a) consumidor(a) solicita como providências: Deseja que seja feita a liberação da portabilidade urgente. _x000D_
Serviço Reclamado: banda larga, tv e telefone fixo _x000D_
Telefone associado ao problema(quando for linha telefônica): (47) 33263218_x000D_
Protocolo da prestadora reclamada: ciente da importância ",,,,,,,
Demora na portabilidade,"Eu solicitei a portabilidade do meu número 81999494832 para a clara, mas até hoje esse solicitação não foi atendida. Eles me ligaram direto dizendo que vai encaminhar para o setor responsável. Por favor só entrem em contato comigo para resolver o problema e não para encaminhar._x000D_
Para deixar claro:_x000D_
Meu número é 81 999494832 e hoje ele está na operadora OI e desejo ir para a operadora Claro.",,,,,,,
,"Pedimos a portabilidade de 4 linhas da Oi para aClaro (51-33951585, 51-33951032, 51-33951252 e 51-32223514) e desde o dia 27/02/2021 os numero foram desligados na Oi , e não foram ligados pela claro, temos ligado diariamente para claro, sempre recebendo resposta de esperar mais um dia, e mais um dia, e sexta passada, dia 05/03 veio um tecnico da claro e passou quase o dia todo aqui na empresa e nao conseguiu resolver, abrindo mais um chamado na claro , para que eles desligassem um outro numero que fomos obrigados a adquirir anteriormente para contratarmos a internet, numero esse que nunca acessamos. O tecnico garantiu que ligariam hoje(08/03/2021) pela manhã e a tarde quando liguei ainda falaram em chamado aberto ate as 18:00 de hoje. Estamos muito prejudicados pois além de estamos sem linhas para trabalhar, nem nosso sistema de alarme esta funcionando pois é ligado a linha telefonica. temos vários protocolos anotados: 078212786675999, 078212791909565, 078212791874322, 078212791886664, 078212782991077, e o ultimo feito pra reclamação 078212796848803.  Precisamos de uma solução urgente dessa portabilidade.",,,,,,,
Portabilidade parcial de linhas solicitadas,"Fiz um combo com a Operadora Claro com três números de celulares há 3 meses, mas um deles não foi efetivado até o momento._x000D_
Já fiz vários contatos e procedimentos, todos sem solução._x000D_
Preciso resolver pois estou pagando por essa linha em duas operadoras, a anterior e a atual, Claro.",,,,,,,
,"Boa tarde, estou tentando solicitar portabilidade da operadora  CORREIOS CELULAR para a CLARO  desde o mês pasado e não estou conseguindo, resaltando que estou tentando fazer a portabilidade via SMS e simplesmente não consigo, diz que o sistema esta indisponível, se eu colocar o número de  outra operadora consigo solicitar, já liguei pro 1052 e disseram que eu posso ir em uma loja da Claro para tentar fazer, mais no momento não estou em Manaus, estou em Boa Vista RR a trabalho e aqui eles não fazem portabilidade com outro DDD, aí eu fico me perguntando porque não consigo fazer a portabilidade pré pago justamente da operadora correios celular??? Já entrei em contato com a CORREIOS CELULAR e disseram que não tem nada impedindo de solicitar a portabilidade!",,,,,,,
Demora na portabilidade,"REGISTREI VIA WHATSAPP UMA SOLICITAÇÃO DE PORTABILIDADE NO DIA 01/03/2021 AS 18:15HS, O STATUS PERMANECE, APENAS, EM: RECEBIDO, ENTREI EM CONTATO VIA CHAT HOJE 08/03/2021  E A ATENDENTE THAIS ME INFORMOU QUE NÃO CONSTA PEDIDO NENHUM, E ME DISSE QUE A PORTABILIDADE DEVE SER FEITA VIA TELEFONE 1052, SENDO QUE TENHO A CONVERSA VIA WHATSAPP, PROPAGANDA ENGANOSA, EM TODAS AS MIDIAS ESTÃO DIVULGANDO QUE PODE SER FEITO POR WHATSAPP SEM PROBLEMAS.",,,,,,,
Cobrança indevida,"Abri uma reclamação em relação a cobrança da fatura mesmo tendo feito uma portabilidade para tim, entraram em contato comigo falando que está cobrança era indevida, passou umas semanas e a operadora começou a me ligar falar que eu estava devendo a mesma cobrança que eles tinham dito que cancelaria, liguei várias vezes para reclamar e ninguém conseguiu me dá uma posição, agora estão me mandando e-mail falando que eu estou devendo 400 reais, ninguém da operadora consegue me ajudar em relação a isso, aguardo uma solução. ",,,,,,,
,"Descrição do problema: Consumidor informa que a solicitou a portabilidade da vivo para claro e ate o momento não ocorreu. _x000D_
O que o consumidor solicita como providências: Portabilidade e cancelamento das cobranças. _x000D_
Serviço Reclamado: Fixo e banda larga._x000D_
Telefone associado ao problema(quando for linha telefônica): 61 30212077_x000D_
Protocolo da prestadora reclamada: Ciente da importância._x000D_
",,,,,,,
Portabilidade realizada na linha incorreta,"Descrição do problema: cliente reclama que solicitou a portabilidade e nao foi concluido com seu numero e sim com outra linha, sempre informa prazos sem solução, quando solicita cancelar e informado a multa porém cliente solicitou portabilidade e não numero_x000D_
O que o Consumidor solicita como providencias:  conclusão da portabilidade com seu numero_x000D_
Serviço reclamado: telefone_x000D_
Telefone com problema:(quando for linha telefônica): 11999830520 numero correto / 940550534 numeo que esta usando_x000D_
",,,,,,,
,"Consumidor(a) reclama que desde do dia 22/02 tenta efetuar a portabilidade mas seu pedido não é concluído, já reclamou mas nada ´resolvido, solicita providências e a conclusão da portabilidade._x000D_
_x000D_
_x000D_
Protocolo da prestadora reclamada:038214470684278_x000D_
O que o consumidor solicita como providências: solução da demanda_x000D_
Telefone associado ao problema(quando for linha telefônica):2124899311 // (21)24899312_x000D_
serviço reclamado: telefone fixo_x000D_
_x000D_
",,,,,,,
,"Efetuei uma solicitação de portabilidade da CLARO (Internet, Fone) para OI porém não conseguiram instalar a linha dentro do horário permitido._x000D_
_x000D_
Após ter ficado vários dias sem telefone aguardando essa finalização da instalação solicitei o cancelamento da instalação acreditando que o telefone voltaria a funcionar._x000D_
_x000D_
Porém até agora estou sem telefone na minha empresa pois a OI finalizou a portabilidade e agora estou sem conseguir que a CLARO reative meu numero",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor(a) reclama que prestadora Claro não ativa sua linha antiga sobre linha atual, tendo em vista ser cobrada indevidamente sobre serviços que ficou sem utilização e cobranças indevidas constantes._x000D_
O que o(a) consumidor(a) solicita como providências: Consumidor deseja que seja realizado o quanto antes possível a ativação de serviços sobre portabilidade de numero em descrição. _x000D_
Serviço Reclamado:Telefone _x000D_
Telefone associado ao problema:    3199962-8149_x000D_
_x000D_
",,,,,,,
,"Descrição do problema:  consumidora reclama da prestadora  claro  net, pois informa que referente ao  protocolo  anterior e não foi soluciona devido quando foram instalar  não foi a portabilidade enderenço enviado comprovante de residencia  correto _x000D_
solicita como providências:_x000D_
Serviço Reclamado: fixo  _x000D_
Telefone associado ao problema(quando for linha telefônica): 2122936540_x000D_
Protocolo Relacionado (protocolo anatel): 202102110633417_x000D_
",,,,,,,
,"Em 08/02/2021 assinamos um contrato com a Claro, incluindo internet e telefono fixo. _x000D_
Ficou acertado que a Claro faria a portabilidade do nosso telefone fixo, (11) 2089-0344._x000D_
Hoje, um mês após a assinatura, continuamos sem o telefone fixo._x000D_
Apesar de todas as tentativas de contato com a Claro, inclusive com a sua Ouvidoria, não obtivemos um retorno satisfatório. Temos mais de 7 protocolos de atendimento._x000D_
Num dos chamados a atendente sugeriu que nós entrassemos em contato com a antiga operadora (Vivo) para tentar solucionar o problema, o que recusamos._x000D_
Conforme sabemos o processo de portabilidade é exclusivamente executado pela nova operadora._x000D_
Solicitamos auxilio da Anatel para conseguirmos ter nosso telefone fixo em funcionamento. _x000D_
_x000D_
KATIA LOPES VARELLA ANTONELLI ME_x000D_
(11) 97250-9980_x000D_
",,,,,,,
,"DESCRIÇÃO DO PROBLEMA: Consumidor(a) reclama que operadora agenda visita técnica para finalizar pedido de instalação do serviço, mas sua solicitação ainda não foi atendida. Operadora está mentindo quando informa que não encontrou o cliente em sua residência._x000D_
O QUE O CONSUMIDOR SOLICITA COMO PROVIDÊNCIAS: Instalação do serviço com urgência e a portabilidade da linha Fixa Oi para Claro._x000D_
TELEFONE ASSOCIADO AO PROBLEMA (quando for linha telefônica): (21) 25955037_x000D_
PROTOCOLO ANATEL: 202102175744396",,,,,,,
,"Descrição do problema: O consumidor reclama que não está conseguindo realizar o cancelamento da portabilidade com a prestadora CLARO._x000D_
_x000D_
O que o consumidor solicita como providências: Cancelar a portabilidade e permanecer com a OI._x000D_
_x000D_
Serviço Reclamado: Telefone fixo / Celular Pós-Pago_x000D_
Telefone associado ao problema: 2125763388 / 21987726704_x000D_
_x000D_
Protocolo da Prestadora: 038214451293248 / 038214451295110",,,,,,,
Portabilidade realizada na linha incorreta,"Adequiri um celular carissimo no site Loja Claro, Pedido 309562488511 e uma portabilidade de meu numero 31987152275 (tim) para Claro. _x000D_
Recebi o novo celular, e um chip, ha 3 dias, mas este novo chip veio com um numero novo 31983177049 e não a portabilidade._x000D_
Liguei na Claro, mas ninguem soube informar porque a portabilidade não foi realizada._x000D_
Enfim, cancelaram o chip e informaram que não iam cobrar nenhuma multa/ e ou bloqueios por isso. _x000D_
Mas achei viavel formalizar esta questão aqui na Anatel, para evitar quaisquer transtornos futuros, visto, que hoje, estou dentro do prazo real e legal do cancelamento._x000D_
Não sei se tenho interesse em insistir com a Claro, com uma nova tentativa de portabilidade e ou promoçoes, devido ao falho serviço prestado e o ruim atendimento. ",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor(a) reclama que solicitou portabilidade da linha para a Tim desde o dia 23/12/2020 e novamente no dia 24/02/21 e até o momento não foi realizado, pois informa que a Claro não libera sua linha._x000D_
O que o consumidor solicita como providências: Conclusão da portabilidade da linha para a operadora Tim com urgência._x000D_
Serviço Reclamado: Pós pago._x000D_
Telefone associado ao problema: 11 977054196_x000D_
Protocolo da prestadora reclamada: Não informado.",,,,,,,
,"No dia 24/02 foi iniciado um novo contrato com a Claro, nos foi vendido internet+portabilidade de um número que estava em outro CPF na Oi, o número que seria portado seria (71) 999028859 no cpf 056167725-50. Ao constatarem que estava em outro cpf, foi feita na loja um processo de autorização de portabilidade entre CPFs e pediram para aguardar. Hoje, 08/03 e algumas ligações perguntando o status da portabilidade com a resposta de ""está em andamento"" recebi a informação de que não é possível fazer a portabilidade entre CPFs, sendo que o plano foi vendido com um dependente justamente com a portabilidade entre CPFs. A demora dessa portabilidade resulta em um contrato em aberto na Oi que não pode ser cancelado nem bloqueado ou suspenso por conta da portabilidade resultando em uma conta de dias equivalentes que não foram utiizados já que por conta da Claro eu n~]ao posso finalizar a portabilidade.",,,,,,,
